indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
0,The Grand Seduction,movie,2014,"Brendan Gleeson, Taylor Kitsch, Gordon Pinsent",113 min,113,min,"comedy, drama",amazon
1,Take Care Good Night,movie,2018,"Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar",110 min,110,min,"drama, international",amazon
2,Secrets of Deception,movie,2017,"Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi",74 min,74,min,"action, drama, suspense",amazon
3,Pink: Staying True,movie,2014,"Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!",69 min,69,min,documentary,amazon
4,Monster Maker,movie,1989,"Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield",45 min,45,min,"drama, fantasy",amazon
5,Living With Dinosaurs,movie,1989,"Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney",52 min,52,min,"fantasy, kids",amazon
6,Hired Gun,movie,2017,"Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson",98 min,98,min,"documentary, special interest",amazon
7,Grease Live!,movie,2016,"Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn",131 min,131,min,comedy,amazon
8,Global Meltdown,movie,2017,"Michael Paré, Leanne Khol Young, Patrick J. MacEachern",87 min,87,min,"action, science fiction, suspense",amazon
9,David's Mother,movie,1994,"Kirstie Alley, Sam Waterston, Stockard Channing",92 min,92,min,drama,amazon
10,Forest Fairies,movie,2016,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",88 min,88,min,"adventure, kids",amazon
11,Take Care,movie,2014,"Leslie Bibb, Kevin Curtis, Nadia Dajani",93 min,93,min,comedy,amazon
12,The Night Eats The World,movie,2018,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",94 min,94,min,"horror, suspense",amazon
13,Resilencia,movie,2020,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",46 min,46,min,"documentary, sports",amazon
14,Elon Musk: The Real Life Iron Man,movie,2018,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",74 min,74,min,documentary,amazon
15,Summer '03,movie,2019,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",96 min,96,min,"comedy, drama",amazon
16,Zoombies,movie,2016,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",87 min,87,min,"horror, science fiction",amazon
17,Zoo Babies,tv show,2008,Narrator - Gillian Barlett,1 Season,1,season,"kids, special interest",amazon
18,Zoë Coombs Marr: Bossy Bottom,tv show,2020,Zoë Coombs Marr,1 Season,1,season,"comedy, talk show and variety",amazon
19,Zoe,movie,2018,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",104 min,104,min,science fiction,amazon
20,Zoboomafoo,tv show,2001,sin dato,1 Season,1,season,kids,amazon
21,Zo Zo Zombie: Mini-Series,tv show,2020,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",1 Season,1,season,"action, anime, comedy",amazon
22,Zis Boom Bah,movie,1941,"Grace Hayes, Mary Healy",62 min,62,min,"arts, entertainment, and culture, comedy, drama",amazon
23,ZeroZeroZero,tv show,2020,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",1 Season,1,season,tv shows,amazon
24,Zandalee,movie,1991,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",94 min,94,min,drama,amazon
25,Zambezi: Force of Life,movie,2005,sin dato,50 min,50,min,documentary,amazon
26,Zahara: The Return,tv show,2020,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",1 Season,1,season,tv shows,amazon
27,Z: The Beginning of Everything,tv show,2017,"Christina Ricci , David Hoflin",1 Season,1,season,"comedy, drama",amazon
28,Yu-Gi-Oh! Zexal,tv show,2015,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",3 Seasons,3,season,"animation, anime, fantasy",amazon
29,Yu-Gi-Oh! ARC-V,tv show,2018,"Michael Liscio Jr., Emily Bauer",3 Seasons,3,season,"action, adventure, animation",amazon
30,Yu-Gi-Oh! 5D's,tv show,2011,"Gregory Abbey, Bella Hudson, Ed Paul",2 Seasons,2,season,"anime, kids",amazon
31,Your Bleeped Up Brain,tv show,2013,"Dobrokhotova Ekaterina, Mike New",1 Season,1,season,tv shows,amazon
32,Young Lovers,movie,1949,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",86 min,86,min,drama,amazon
33,Young Love (at the Sun Factory),movie,2007,sin dato,36 min,36,min,music videos and concerts,amazon
34,Young Love (at Bowery Ballroom),movie,2007,sin dato,37 min,37,min,music videos and concerts,amazon
35,Young Lions,tv show,2002,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",1 Season,1,season,"drama, suspense",amazon
36,You're Not You,movie,2015,"Hilary Swank, Emmy Rossum, Josh Duhamel",103 min,103,min,drama,amazon
37,"You, Me and Him",movie,2017,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",98 min,98,min,"comedy, drama",amazon
38,Yoga with Sound Meditations,movie,2016,Ann-Marie Newland,9 min,9,min,"fitness, special interest",amazon
39,Yoga to Harness Your Chakra Energy,movie,2014,Caroline Shola Arewa,18 min,18,min,"faith and spirituality, special interest",amazon
40,Yoga to Ease Flight Anxiety,movie,2016,Anne-Marie Newland,14 min,14,min,"fitness, special interest",amazon
41,Yoga to Break Any Habit,movie,2014,Dr Daniel J Nightingale,20 min,20,min,special interest,amazon
42,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",tv show,2018,Lindsey Samper,1 Season,1,season,fitness,amazon
43,Yoga Savasana Relaxation,movie,2014,Anne-Marie Newland,19 min,19,min,"fitness, special interest",amazon
44,Yoga for Relaxation Anywhere,movie,2014,Anne-Marie Newland,18 min,18,min,"fitness, special interest",amazon
45,Yoga for Relaxation and Stress Relief Anywhere,movie,2014,Anne-Marie Newland,20 min,20,min,"fitness, special interest",amazon
46,Yoga for Relaxation and Stress Relief,movie,2014,Anne-Marie Newland,20 min,20,min,special interest,amazon
47,Yoga for Mindfulness and Meditation,movie,2016,Anne-Marie Newland,22 min,22,min,"fitness, special interest",amazon
48,Yoga for Men's Health,movie,2016,Anne-Marie Newland,60 min,60,min,"fitness, special interest",amazon
49,Yoga for Breath Awareness,movie,2016,Anne-Marie Newland,6 min,6,min,"fitness, special interest",amazon
50,Yoga For Beginners,movie,2016,Anne-Marie Newland,54 min,54,min,"fitness, special interest",amazon
